Timestamp,Voltage_mV
5.72,2047.938
5.724,1693.75
5.728,867.938
5.732,1003.25
5.736,1950.25
5.74,2047.938
5.744,1731.75
5.748,888.125
5.752,985.812
5.756,1924.0
5.76,2047.938
5.764,1763.312
5.768,900.938
5.772,967.562
5.776,1899.25
5.78,2047.938
5.784,1792.812
5.788,912.125
5.792,942.625
5.796,1864.125
5.8,2047.938
5.804,1825.812
5.808,938.0
5.812,937.75
5.816,1841.562
5.82,2047.938
5.824,1851.875
5.828,947.438
5.832,913.875
5.836,1808.562
5.84,2047.938
5.844,1877.188
5.848,962.25
5.852,898.438
5.856,1781.562
5.86,2047.938
5.864,1909.188
5.868,983.938
5.872,887.062
5.876,1753.688
5.88,2047.938
5.884,1931.688
5.888,995.688
5.892,868.688
5.896,1721.5
5.9,2047.938
5.904,1963.375
5.908,1017.375
5.912,856.562
5.916,1690.562
5.92,2047.938
5.924,1993.625
5.928,1045.562
5.932,852.25
5.936,1667.125
5.94,2047.938
5.944,2010.5
5.948,1057.438
5.952,837.25
5.956,1634.062
5.96,2041.5
5.964,2041.5
5.968,1088.125
5.972,1612.75
5.976,2047.938
5.98,2047.938
5.984,1104.625
